"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","53","[HTTP][Postgres] Filter by card id. In progress purchase operation","tests.suites.http","Sat Jun 27 15:57:36 UTC 2026","passed","Sat Jun 27 15:57:36 UTC 2026","TestOperationsHTTP","test_operations","",""
"","27","[gRPC] Get account details. User with active debit card account","tests.suites.grpc","Sat Jun 27 15:57:34 UTC 2026","passed","Sat Jun 27 15:57:34 UTC 2026","TestGatewayGRPC","test_gateway","",""
"","14","[HTTP][Postgres] Filter by account id. Completed purchase operation","tests.suites.http","Sat Jun 27 15:57:37 UTC 2026","passed","Sat Jun 27 15:57:37 UTC 2026","TestOperationsHTTP","test_operations","",""
"","517","[HTTP][Kafka] Operation events. Completed purchase operation","tests.suites.http","Sat Jun 27 15:57:36 UTC 2026","failed","Sat Jun 27 15:57:37 UTC 2026","TestOperationsHTTP","test_operations","",""
"","516","[gRPC][Kafka] Operation events. Completed purchase operation","tests.suites.grpc","Sat Jun 27 15:57:35 UTC 2026","failed","Sat Jun 27 15:57:35 UTC 2026","TestOperationsGRPC","test_operations","",""
"","68","[HTTP] Get user details. User with active credit card account","tests.suites.http","Sat Jun 27 15:57:35 UTC 2026","passed","Sat Jun 27 15:57:36 UTC 2026","TestGatewayHTTP","test_gateway","",""
"","12","[gRPC][Postgres] Filter by account id. Completed purchase operation","tests.suites.grpc","Sat Jun 27 15:57:35 UTC 2026","passed","Sat Jun 27 15:57:35 UTC 2026","TestOperationsGRPC","test_operations","",""
"","866","[gRPC][Kafka] Operation events. In progress purchase operation","tests.suites.grpc","Sat Jun 27 15:57:34 UTC 2026","failed","Sat Jun 27 15:57:35 UTC 2026","TestOperationsGRPC","test_operations","",""
"","29","[gRPC][Postgres] Filter by card id. In progress purchase operation","tests.suites.grpc","Sat Jun 27 15:57:35 UTC 2026","passed","Sat Jun 27 15:57:35 UTC 2026","TestOperationsGRPC","test_operations","",""
"","33","[gRPC] Get user details. User with active credit card account","tests.suites.grpc","Sat Jun 27 15:57:34 UTC 2026","passed","Sat Jun 27 15:57:34 UTC 2026","TestGatewayGRPC","test_gateway","",""
"","44","[HTTP] Get user details. User with active debit card account","tests.suites.http","Sat Jun 27 15:57:36 UTC 2026","passed","Sat Jun 27 15:57:36 UTC 2026","TestGatewayHTTP","test_gateway","",""
"","568","[HTTP][Kafka] Operation events. In progress purchase operation","tests.suites.http","Sat Jun 27 15:57:36 UTC 2026","failed","Sat Jun 27 15:57:36 UTC 2026","TestOperationsHTTP","test_operations","",""
